#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu May 17 07:48:10 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       top_map.ncd
#OUTPUT FILE:      top_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -3
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,IO<4>,IOB,IO_L83N_VREF_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P2,RDY,IOB,IO_L83P_3,OUTPUT,LVTTL,3,12,SLOW,,,,LOCATED,NO,NONE,
P3,,,GND,,,,,,,,,,,,
P4,,,VCCO_3,,,3,,,,,3.30,,,,
P5,IO<5>,IOB,IO_L52N_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P6,TCLK,IOB,IO_L52P_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P7,IO<6>,IOB,IO_L51N_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P8,START,IOB,IO_L51P_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P9,IO<7>,IOB,IO_L50N_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P10,INTA,IOB,IO_L50P_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P11,,IOBS,IO_L49N_3,UNUSED,,3,,,,,,,,,
P12,DATA<7>,IOB,IO_L49P_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P13,,,GND,,,,,,,,,,,,
P14,,IOBS,IO_L44N_GCLK20_3,UNUSED,,3,,,,,,,,,
P15,DATA<6>,IOB,IO_L44P_GCLK21_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P16,,IOBS,IO_L43N_GCLK22_IRDY2_3,UNUSED,,3,,,,,,,,,
P17,DATA<5>,IOB,IO_L43P_GCLK23_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P18,,,VCCO_3,,,3,,,,,3.30,,,,
P19,,,VCCINT,,,,,,,,1.2,,,,
P20,,,VCCAUX,,,,,,,,2.5,,,,
P21,,IOBS,IO_L42N_GCLK24_3,UNUSED,,3,,,,,,,,,
P22,DATA<4>,IOB,IO_L42P_GCLK25_TRDY2_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P23,,IOBS,IO_L41N_GCLK26_3,UNUSED,,3,,,,,,,,,
P24,DATA<3>,IOB,IO_L41P_GCLK27_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P25,,,GND,,,,,,,,,,,,
P26,,IOBS,IO_L37N_3,UNUSED,,3,,,,,,,,,
P27,DATA<2>,IOB,IO_L37P_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,A<4>,IOB,IO_L36N_3,OUTPUT,LVTTL,3,12,SLOW,,,,LOCATED,NO,NONE,
P30,INT,IOB,IO_L36P_3,OUTPUT,LVTTL,3,12,SLOW,,,,LOCATED,NO,NONE,
P31,,,VCCO_3,,,3,,,,,3.30,,,,
P32,A<14>,IOB,IO_L2N_3,OUTPUT,LVTTL,3,12,SLOW,,,,LOCATED,NO,NONE,
P33,DATA<1>,IOB,IO_L2P_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P34,A<13>,IOB,IO_L1N_VREF_3,OUTPUT,LVTTL,3,12,SLOW,,,,LOCATED,NO,NONE,
P35,DATA<0>,IOB,IO_L1P_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P36,,,VCCAUX,,,,,,,,2.5,,,,
P37,,,PROGRAM_B_2,,,,,,,,,,,,
P38,DATA<31>,IOB,IO_L65N_CSO_B_2,TRISTATE,LVTTL,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P39,DATA<30>,IOB,IO_L65P_INIT_B_2,TRISTATE,LVTTL,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P40,A<12>,IOB,IO_L64N_D9_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
